2019-01-18 15:32:00 +0200|2.0.20
2018-12-10 13:30:20 +0100|2.0.19
2018-12-07 11:03:14 +0100|2.0.18
2018-12-06 15:41:51 +0100|2.0.17
2018-11-12 21:49:47 +0100|2.0.16
2018-11-12 21:29:14 +0100|2.0.15
2018-11-06 21:24:47 +0100|2.0.14
2018-11-04 21:05:16 +0100|2.0.13
2018-10-26 12:09:10 +0200|2.0.12
2018-10-25 16:08:59 +0200|2.0.11
2018-10-25 15:44:33 +0200|2.0.10
2018-10-25 15:24:12 +0200|2.0.9
2018-10-18 22:59:09 +0200|2.0.8
2018-10-18 12:44:04 +0200|2.0.7
2018-10-18 10:45:22 +0200|2.0.6
2018-10-18 10:42:29 +0200|2.0.5
2018-10-18 10:29:56 +0200|2.0.4
2018-10-18 10:27:23 +0200|2.0.3
2018-10-18 09:29:27 +0200|2.0.2
2018-06-13 14:51:11 +0200|2.0.1
2018-06-01 15:04:33 +0200|2.0.0
2018-02-06 12:54:12 +0100|0.1.1
2017-12-12 11:09:02 +0100|0.1.0
2017-11-20 21:07:40 +0100|0.0.5
2017-09-22 10:45:43 +0200|0.0.4
2017-09-11 15:19:32 +0200|0.0.3
2017-09-11 10:38:07 +0200|0.0.2
2017-09-09 11:27:02 +0200|0.0.1
